Date, Open, High, Low, Close, UnAdjustedClose, Volume
20060410,      68.25,      68.50,      67.67,      68.02,      68.02,   38779
20060411,      68.32,      68.39,      67.30,      68.20,      68.20,   12971
20060412,      68.22,      68.81,      67.81,      67.84,      67.84,   12483
20060413,      67.50,      68.99,      67.40,      68.82,      68.82,    5607
20060417,      69.20,      69.90,      68.68,      69.79,      69.79,    9177
20060418,      70.10,      71.05,      69.57,      70.75,      70.75,    9227
20060419,      70.58,      72.16,      70.49,      71.85,      71.85,    7898
20060420,      71.92,      72.16,      70.51,      71.09,      71.09,    8432
20060421,      70.89,      73.23,      70.80,      72.81,      72.81,   10658
20060424,      71.40,      72.45,      70.79,      71.01,      71.01,   10423
20060425,      71.68,      71.81,      69.62,      70.64,      70.64,   28539
20060426,      70.44,      70.85,      69.45,      69.54,      69.54,    8992
20060427,      69.10,      69.58,      68.57,      68.70,      68.70,    6356
20060428,      69.26,      70.50,      68.99,      69.62,      69.62,    8681
20060501,      70.15,      71.65,      70.00,      71.50,      71.50,    5555
20060502,      71.84,      72.69,      71.34,      72.34,      72.34,    8710
20060503,      72.48,      72.48,      70.00,      70.22,      70.22,   10150
20060504,      69.37,      69.77,      67.28,      68.32,      68.32,   15575
20060505,      68.30,      68.47,      67.68,      68.00,      68.00,    6712
20060508,      67.13,      67.99,      66.30,      67.88,      67.88,   13123
20060509,      67.99,      69.18,      67.76,      68.40,      68.40,    7830
20060510,      68.32,      69.77,      67.48,      69.77,      69.77,    7045
20060511,      71.00,      71.05,      69.92,      70.30,      70.30,   10355
20060512,      70.44,      70.44,      69.04,      69.11,      69.11,    6076
20060515,      67.47,      67.77,      66.45,      66.63,      66.63,    6699
20060516,      67.07,      67.90,      66.31,      66.70,      66.70,    8020
20060517,      66.67,      66.75,      65.39,      65.70,      65.70,    8227
20060518,      65.68,      66.79,      65.10,      66.74,      66.74,    6567
20060519,      66.00,      66.46,      65.15,      65.57,      65.57,    8121
20060522,      64.89,      66.57,      64.89,      66.28,      66.28,    7697
20060523,      67.25,      68.42,      67.21,      67.77,      67.77,    6309
20060524,      67.21,      67.93,      66.05,      66.10,      66.10,    4007
20060525,      66.68,      67.88,      66.31,      67.80,      67.80,    3003
20060526,      67.46,      68.23,      67.33,      67.75,      67.75,    2695
20060530,      68.72,      69.08,      68.22,      68.32,      68.32,    4894
20060531,      67.64,      67.91,      66.58,      67.73,      67.73,    4717
20060601,      66.84,      68.25,      66.51,      66.82,      66.82,    9228
20060602,      67.76,      69.15,      67.55,      68.90,      68.90,    4435
20060605,      69.69,      69.78,      68.44,      68.74,      68.74,    3932
20060606,      68.09,      68.95,      67.80,      68.76,      68.76,    1798
20060607,      68.27,      68.33,      67.01,      67.28,      67.28,    3600
20060608,      66.53,      67.12,      65.81,      67.12,      67.12,    3083
20060609,      67.50,      68.20,      67.50,      68.07,      68.07,    3420
20060612,      68.39,      68.39,      66.86,      67.08,      67.08,    2132
20060613,      65.94,      66.23,      65.13,      65.18,      65.18,    6027
20060614,      65.51,      65.91,      65.00,      65.79,      65.79,    3334
20060615,      66.35,      66.52,      65.95,      66.16,      66.16,    3087
20060616,      65.97,      66.47,      65.25,      66.25,      66.25,    2187
20060619,      65.82,      65.86,      64.99,      65.54,      65.54,    1880
20060620,      65.91,      66.20,      64.92,      65.29,      65.29,    2164
20060621,      65.34,      66.73,      65.03,      66.35,      66.35,    2408
20060622,      66.69,      67.03,      66.19,      67.00,      67.00,    2374
20060623,      66.43,      67.21,      66.37,      66.89,      66.89,    1191
20060626,      66.67,      67.85,      66.50,      67.70,      67.70,    1840
20060627,      68.13,      68.42,      67.63,      68.08,      68.08,    3474
20060628,      67.97,      68.72,      67.59,      68.31,      68.31,    2403
20060629,      68.35,      69.59,      68.31,      69.51,      69.51,    4790
20060630,      69.51,      70.02,      69.43,      69.77,      69.77,    2594
20060703,      70.21,      70.37,      69.93,      69.93,      69.93,    1681
20060705,      69.89,      71.15,      69.78,      71.00,      71.00,    4964
20060706,      70.80,      71.10,      70.20,      70.77,      70.77,    3369
20060707,      71.43,      71.50,      69.77,      69.85,      69.85,    4153
20060710,      69.57,      69.85,      67.64,      69.56,      69.56,    1967
20060711,      70.31,      70.60,      69.99,      70.08,      70.08,    2377
20060712,      70.40,      71.14,      69.86,      71.14,      71.14,    6313
20060713,      71.75,      73.29,      71.75,      73.25,      73.25,   16260
20060714,      74.15,      74.60,      73.17,      73.22,      73.22,   16584
20060717,      72.73,      73.21,      71.52,      71.65,      71.65,   10079
20060718,      72.45,      72.88,      70.13,      70.75,      70.75,   10600
20060719,      70.25,      70.52,      68.66,      69.85,      69.85,    8765
20060720,      70.15,      70.35,      68.85,      69.10,      69.10,    5687
20060721,      69.73,      70.20,      69.02,      69.52,      69.52,    5042
20060724,      69.00,      70.18,      68.70,      70.17,      70.17,    3941
20060725,      70.42,      70.44,      68.71,      69.00,      69.00,   10881
20060726,      68.91,      69.80,      68.72,      69.17,      69.17,    4812
20060727,      69.78,      69.92,      69.18,      69.68,      69.68,    3674
20060728,      69.05,      69.25,      67.90,      68.50,      68.50,   11295
20060731,      68.78,      69.68,      68.25,      69.52,      69.52,    4865
20060801,      69.90,      70.50,      69.60,      70.15,      70.15,    4531
20060802,      70.67,      71.42,      70.56,      71.12,      71.12,    7615
20060803,      69.97,      70.73,      69.80,      70.56,      70.56,    4923
20060804,      70.51,      70.51,      69.33,      69.81,      69.81,    3041
20060807,      71.09,      72.14,      70.90,      72.00,      72.00,   13751
20060808,      71.50,      72.34,      71.20,      71.30,      71.30,    4196
20060809,      71.40,      72.10,      70.94,      71.17,      71.17,    4882
20060810,      70.46,      70.54,      69.22,      69.60,      69.60,    9014
20060811,      69.73,      69.90,      69.17,      69.73,      69.73,    3019
20060814,      68.60,      68.87,      68.19,      68.59,      68.59,    3655
20060815,      68.84,      69.13,      68.18,      68.21,      68.21,    2386
20060816,      67.94,      68.27,      67.02,      67.10,      67.10,    7323
20060817,      66.34,      66.52,      65.70,      66.05,      66.05,    9160
20060818,      66.28,      66.50,      65.25,      66.18,      66.18,    6375
20060821,      66.91,      67.46,      66.50,      67.42,      67.42,    9588
20060822,      67.30,      67.51,      66.83,      67.05,      67.05,    5904
20060823,      66.60,      66.80,      65.45,      66.00,      66.00,    7284
20060824,      65.87,      66.75,      65.73,      66.75,      66.75,    4082
20060825,      67.50,      67.80,      66.55,      66.55,      66.55,    9494
20060828,      65.52,      65.56,      64.57,      64.88,      64.88,   10760
20060829,      64.26,      64.62,      63.80,      64.19,      64.19,    9702
20060830,      64.33,      64.85,      63.20,      64.85,      64.85,   11330
20060831,      64.30,      64.81,      63.83,      64.80,      64.80,    7216
20060901,      64.75,      64.80,      63.54,      63.75,      63.75,    5916
20060905,      63.37,      63.55,      62.86,      63.31,      63.31,    7406
20060906,      62.68,      63.39,      62.17,      62.20,      62.20,   10076
20060907,      62.33,      62.41,      61.53,      61.89,      61.89,    9563
20060908,      62.04,      62.12,      60.83,      60.90,      60.90,   13688
20060911,      60.18,      60.85,      59.62,      60.03,      60.03,   15932
20060912,      60.06,      60.31,      58.65,      58.76,      58.76,   14600
20060913,      58.99,      59.43,      58.48,      59.00,      59.00,   16608
